ADILA,Adilabad
AGRA,Agra
AHMED,Ahmedabad
AHMED,Ahmednagar
AIZAW,Aizawl
AJITG,Ajitgarh (Mohali)
AJMER,Ajmer
AKOLA,Akola
ALAPP,Alappuzha
ALIGA,Aligarh
ALIRA,Alirajpur
ALLAH,Allahabad
ALMOR,Almora
ALWAR,Alwar
AMBAL,Ambala
AMBED,Ambedkar Nagar
AMRAV,Amravati
AMREL,Amreli district
AMRIT,Amritsar
ANAND,Anand
ANANTP,Anantapur
ANANTG,Anantnag
ANGUL,Angul
ANJAW,Anjaw
ANUPP,Anuppur
ARARI,Araria
ARIYA,Ariyalur
ARWAL,Arwal
ASHOK,Ashok Nagar
AURAI,Auraiya
AURAN,Aurangabad
AZAMG,Azamgarh
BADGA,Badgam
BAGAL,Bagalkot
BAGES,Bageshwar
BAGPA,Bagpat
BAHRA,Bahraich
BAKSA,Baksa
BALAG,Balaghat
BALAN,Balangir
BALAS,Balasore
BALLI,Ballia
BALRA,Balrampur
BANAS,Banaskantha
BANDA,Banda
BANDI,Bandipora
BANGA,Bangalore
BANKA,Banka
BANKU,Bankura
BANSW,Banswara
BARAB,Barabanki
BARAM,Baramulla
BARAN,Baran
BARDH,Bardhaman
BAREI,Bareilly
BARGA,Bargarh (Baragarh)
BARME,Barmer
BARNA,Barnala
BARPE,Barpeta
BARWA,Barwani
BASTA,Bastar
BASTI,Basti
BATHI,Bathinda
BEED,Beed
BEGUS,Begusarai
BELGA,Belgaum
BELLA,Bellary
BETUL,Betul
BHADR,Bhadrak
BHAGA,Bhagalpur
BHAND,Bhandara
BHARA,Bharatpur
BHARU,Bharuch
BHAVN,Bhavnagar
BHILW,Bhilwara
BHIND,Bhind
BHIWA,Bhiwani
BHOJP,Bhojpur
BHOPA,Bhopal
BIDAR,Bidar
BIJAP,Bijapur
BIJNO,Bijnor
BIKAN,Bikaner
BILAS,Bilaspur
BIRBH,Birbhum
BISHN,Bishnupur
BOKAR,Bokaro
BONGA,Bongaigaon
BOUDH,Boudh (Bauda)
BUDAU,Budaun
BULAN,Bulandshahr
BULDH,Buldhana
BUNDI,Bundi
BURHA,Burhanpur
BUXAR,Buxar
CACHA,Cachar
CENTR,Central Delhi
CHAMA,Chamarajnagar
CHAMB,Chamba
CHAMO,Chamoli
CHAMPA,Champawat
CHAMPH,Champhai
CHANDAU,Chandauli
CHANDEL,Chandel
CHANDI,Chandigarh
CHANDRA,Chandrapur
CHANG,Changlang
CHATR,Chatra
CHENN,Chennai
CHHAT,Chhatarpur
CHHIN,Chhindwara
CHIKK,Chikkaballapur
CHIKK,Chikkamagaluru
CHIRA,Chirang
CHITRDR,Chitradurga
CHITRKO,Chitrakoot
CHITTOOR,Chittoor
CHITTGR,Chittorgarh
CHURA,Churachandpur
CHURU,Churu
COIMB,Coimbatore
COOCH,Cooch Behar
CUDDA,Cuddalore
CUTTA,Cuttack
DADRA,Dadra and Nagar Haveli
DAHOD,Dahod
DAKSHDINA,Dakshin Dinajpur
DAKSHKANNA,Dakshina Kannada
DAMAN,Daman
DAMOH,Damoh
DANTE,Dantewada
DARBH,Darbhanga
DARJE,Darjeeling
DARRA,Darrang
DATIA,Datia
DAUSA,Dausa
DAVAN,Davanagere
DEBAG,Debagarh (Deogarh)
DEHRA,Dehradun
DEOGH,Deoghar
DEORI,Deoria
DEWAS,Dewas
DHALA,Dhalai
DHAMT,Dhamtari
DHANB,Dhanbad
DHAR,Dhar
DHARM,Dharmapuri
DHARW,Dharwad
DHEMA,Dhemaji
DHENK,Dhenkanal
DHOLP,Dholpur
DHUBR,Dhubri
DHULE,Dhule
DIBAN,Dibang Valley
DIBRU,Dibrugarh
DIMA ,Dima Hasao
DIMAP,Dimapur
DINDI,Dindigul
DINDO,Dindori
DIU,Diu
DODA,Doda
DUMKA,Dumka
DUNGA,Dungapur
DURG,Durg
ECHAMPA,East Champaran
EDEL,East Delhi
EGARO,East Garo Hills
EKHASI,East Khasi Hills
ESIANG,East Siang
ESIKKIM,East Sikkim
ESINGH,East Singhbhum
ELURU,Eluru
ERNAK,Ernakulam
ERODE,Erode
ETAH,Etah
ETAWA,Etawah
FAIZA,Faizabad
FARIDBD,Faridabad
FARIDKT,Faridkot
FARRU,Farrukhabad
FATEH,Fatehabad
FATEH,Fatehgarh Sahib
FATEH,Fatehpur
FAZIL,Fazilka
FIROZBD,Firozabad
FIROZPR,Firozpur
GADAG,Gadag
GADCH,Gadchiroli
GAJAP,Gajapati
GANDE,Ganderbal
GANDH,Gandhinagar
GANGA,Ganganagar
GANJA,Ganjam
GARHW,Garhwa
GAUTA,Gautam Buddh Nagar
GAYA,Gaya
GHAZIA,Ghaziabad
GHAZIPR,Ghazipur
GIRID,Giridih
GOALP,Goalpara
GODDA,Godda
GOLAG,Golaghat
GONDA,Gonda
GONDI,Gondia
GOPAL,Gopalganj
GORAK,Gorakhpur
GULBA,Gulbarga
GUMLA,Gumla
GUNA,Guna
GUNTU,Guntur
GURDA,Gurdaspur
GURGA,Gurgaon
GWALI,Gwalior
HAILA,Hailakandi
HAMIR,Hamirpur
HAMIR,Hamirpur
HANUM,Hanumangarh
HARDA,Harda
HARDO,Hardoi
HARID,Haridwar
HASSA,Hassan
HAVER,Haveri district
HAZAR,Hazaribag
HINGO,Hingoli
HISSA,Hissar
HOOGH,Hooghly
HOSHA,Hoshangabad
HOSHI,Hoshiarpur
HOWRA,Howrah
HYDER,Hyderabad
IDUKK,Idukki
IMPHA,Imphal East
IMPHA,Imphal West
INDOR,Indore
JABAL,Jabalpur
JAGAT,Jagatsinghpur
JAINT,Jaintia Hills
JAIPU,Jaipur
JAISA,Jaisalmer
JAJPU,Jajpur
JALAN,Jalandhar
JALAU,Jalaun
JALGA,Jalgaon
JALNA,Jalna
JALOR,Jalore
JALPA,Jalpaiguri
JAMMU,Jammu
JAMNA,Jamnagar
JAMTA,Jamtara
JAMUI,Jamui
JANJG,Janjgir-Champa
JASHP,Jashpur
JAUNP,Jaunpur district
JEHAN,Jehanabad
JHABU,Jhabua
JHAJJ,Jhajjar
JHALA,Jhalawar
JHANS,Jhansi
JHARS,Jharsuguda
JHUNJ,Jhunjhunu
JIND,Jind
JODHP,Jodhpur
JORHA,Jorhat
JUNAG,Junagadh
JYOTI,Jyotiba Phule Nagar
KABIR,Kabirdham (formerly Kawardha)
KADAP,Kadapa
KAIMU,Kaimur
KAITH,Kaithal
KAKIN,Kakinada
KALAH,Kalahandi
KAMRU,Kamrup
KANCH,Kanchipuram
KANDH,Kandhamal
KANGR,Kangra
KANKE,Kanker
KANNA,Kannauj
KANNU,Kannur
KANPU,Kanpur
KANSH,Kanshi Ram Nagar
KANYA,Kanyakumari
KAPUR,Kapurthala
KARAI,Karaikal
KARAU,Karauli
KARBI,Karbi Anglong
KARGI,Kargil
KARIMGN,Karimganj
KARIMNG,Karimnagar
KARNA,Karnal
KARUR,Karur
KASAR,Kasaragod
KATHU,Kathua
KATIH,Katihar
KATNI,Katni
KAUSH,Kaushambi
KENDR,Kendrapara
KENDU,Kendujhar (Keonjhar)
KHAGA,Khagaria
KHAMM,Khammam
KHAND,Khandwa (East Nimar)
KHARG,Khargone (West Nimar)
KHEDA,Kheda
KHORD,Khordha
KHOWA,Khowai
KHUNT,Khunti
KINNA,Kinnaur
KISHA,Kishanganj
KISHT,Kishtwar
KODAG,Kodagu
KODER,Koderma
KOHIM,Kohima
KOKRA,Kokrajhar
KOLAR,Kolar
KOLAS,Kolasib
KOLHA,Kolhapur
KOLKA,Kolkata
KOLLA,Kollam
KOPPA,Koppal
KORAP,Koraput
KORBA,Korba
KORIY,Koriya
KOTA,Kota
KOTTA,Kottayam
KOZHI,Kozhikode
KRISH,Krishna
KULGA,Kulgam
KULLU,Kullu
KUPWA,Kupwara
KURNO,Kurnool
KURUK,Kurukshetra
KURUN,Kurung Kumey
KUSHI,Kushinagar
KUTCH,Kutch
LAHAU,Lahaul and Spiti
LAKHI,Lakhimpur
LAKHISR,Lakhisarai
LALIT,Lalitpur
LATEH,Latehar
LATUR,Latur
LAWNG,Lawngtlai
LEH,Leh
LOHAR,Lohardaga
LOHIT,Lohit
LOWER,Lower Dibang Valley
LOWER,Lower Subansiri
LUCKN,Lucknow
LUDHI,Ludhiana
LUNGL,Lunglei
MADHE,Madhepura
MADHU,Madhubani
MADUR,Madurai
MAHAM,Mahamaya Nagar
MAHAR,Maharajganj
MAHAS,Mahasamund
MAHBU,Mahbubnagar
MAHE,Mahe
MAHEN,Mahendragarh
MAHOB,Mahoba
MAINP,Mainpuri
MALAP,Malappuram
MALDA,Maldah
MALKA,Malkangiri
MAMIT,Mamit
MANDI,Mandi
MANDL,Mandla
MANDS,Mandsaur
MANDY,Mandya
MANSA,Mansa
MARIG,Marigaon
MATHU,Mathura
MAU,Mau
MAYUR,Mayurbhanj
MEDAK,Medak
MEERU,Meerut
MEHSA,Mehsana
MEWAT,Mewat
MIRZA,Mirzapur
MOGA,Moga
MOKOK,Mokokchung
MON,Mon
MORAD,Moradabad
MOREN,Morena
MUMBA,Mumbai
MUNGE,Munger
MURSH,Murshidabad
MUZAFNG,Muzaffarnagar
MUZAFPR,Muzaffarpur
MYSOR,Mysore
NABAR,Nabarangpur
NADIA,Nadia
NAGAO,Nagaon
NAGAP,Nagapattinam
NAGAU,Nagaur
NAGPU,Nagpur
NAINI,Nainital
NALAN,Nalanda
NALBA,Nalbari
NALGO,Nalgonda
NAMAK,Namakkal
NANDE,Nanded
NANDU,Nandurbar
NARAY,Narayanpur
NARMA,Narmada
NARSI,Narsinghpur
NASHI,Nashik
NAVSA,Navsari
NAWAD,Nawada
NAWAN,Nawanshahr
NAYAG,Nayagarh
NEEMU,Neemuch
NELLO,Nellore
NEWD,New Delhi
NILGI,Nilgiris
NIZAM,Nizamabad
NUAPA,Nuapada
ONGOL,Ongole
OSMAN,Osmanabad
PAKUR,Pakur
PALAK,Palakkad
PALAM,Palamu
PALI,Pali
PALWA,Palwal
PANCH,Panchkula
PANCH,Panchmahal
PANCH,Panchsheel Nagar district (Hapur)
PANIP,Panipat
PANNA,Panna
PAPUM,Papum Pare
PARBH,Parbhani
PASCH,Paschim Medinipur
PATAN,Patan
PATHANM,Pathanamthitta
PATHANK,Pathankot
PATIA,Patiala
PATNA,Patna
PAURI,Pauri Garhwal
PERAM,Perambalur
PHEK,Phek
PILIB,Pilibhit
PITHO,Pithoragarh
PONDI,Pondicherry
POONC,Poonch
PORBA,Porbandar
PRATA,Pratapgarh
PRATA,Pratapgarh
PUDUK,Pudukkottai
PULWA,Pulwama
PUNE,Pune
PURBA,Purba Medinipur
PURI,Puri
PURNI,Purnia
PURUL,Purulia
RAEBA,Raebareli
RAICH,Raichur
RAIGAD,Raigad
RAIGAR,Raigarh
RAIPU,Raipur
RAISE,Raisen
RAJAU,Rajauri
RAJGA,Rajgarh
RAJKO,Rajkot
RAJNA,Rajnandgaon
RAJSA,Rajsamand
RAMAB,Ramabai Nagar (Kanpur Dehat)
RAMANGR,Ramanagara
RAMANTHA,Ramanathapuram
RAMBA,Ramban
RAMGA,Ramgarh
RAMPU,Rampur
RANCH,Ranchi
RATLA,Ratlam
RATNA,Ratnagiri
RAYAG,Rayagada
REASI,Reasi
REWA,Rewa
REWAR,Rewari
RI BH,Ri Bhoi
ROHTAK,Rohtak
ROHTAS,Rohtas
RUDRA,Rudraprayag
RUPNA,Rupnagar
SABAR,Sabarkantha
SAGAR,Sagar
SAHAR,Saharanpur
SAHAR,Saharsa
SAHIB,Sahibganj
SAIHA,Saiha
SALEM,Salem
SAMAS,Samastipur
SAMBA,Samba
SAMBLPR,Sambalpur
SANGL,Sangli
SANGR,Sangrur
SNTKBRNGR,Sant Kabir Nagar
SANTRVNG ,Sant Ravidas Nagar
SARAN,Saran
SATAR,Satara
SATNA,Satna
SAWAI,Sawai Madhopur
SEHOR,Sehore
SENAP,Senapati
SEONI,Seoni
SERAI,Seraikela Kharsawan
SERCH,Serchhip
SHAHD,Shahdol
SHAHJ,Shahjahanpur
SHAJA,Shajapur
SHAML,Shamli
SHEIK,Sheikhpura
SHEOH,Sheohar
SHEOP,Sheopur
SHIML,Shimla
SHIMO,Shimoga
SHIVP,Shivpuri
SHOPI,Shopian
SHRAV,Shravasti
SIBSA,Sibsagar
SIDDH,Siddharthnagar
SIDHI,Sidhi
SIKAR,Sikar
SIMDE,Simdega
SINDH,Sindhudurg
SINGR,Singrauli
SIRMA,Sirmaur
SIROH,Sirohi
SIRSA,Sirsa
SITAM,Sitamarhi
SITAP,Sitapur
SIVAG,Sivaganga
SIWAN,Siwan
SOLAN,Solan
SOLAP,Solapur
SONBH,Sonbhadra
SONIP,Sonipat
SONIT,Sonitpur
SRI M,Sri Muktsar Sahib
SRIKA,Srikakulam
SRINA,Srinagar
SUBAR,Subarnapur (Sonepur)
SULTA,Sultanpur
SUNDE,Sundergarh
SUPAU,Supaul
SURAT,Surat
SUREN,Surendranagar
SURGU,Surguja
TAMEN,Tamenglong
TARN ,Tarn Taran
TAWAN,Tawang
TEHRI,Tehri Garhwal
THANE,Thane
THANJ,Thanjavur
THE D,The Dangs
THENI,Theni
THIRU,Thiruvananthapuram
THOOT,Thoothukudi
THOUB,Thoubal
THRIS,Thrissur
TIKAM,Tikamgarh
TINSU,Tinsukia
TIRAP,Tirap
TIRUC,Tiruchirappalli
TIRUN,Tirunelveli
TIRUP,Tirupur
TIRUVLL,Tiruvallur
TIRUVNN,Tiruvannamalai
TIRUVARU,Tiruvarur
TONK,Tonk
TUENS,Tuensang
TUMKU,Tumkur
UDAIP,Udaipur
UDALG,Udalguri
UDHAM,Udham Singh Nagar
UDHAM,Udhampur
UDUPI,Udupi
UJJAI,Ujjain
UKHRU,Ukhrul
UMARI,Umaria
UNA,Una
UNNAO,Unnao
UTTAR,Uttara Kannada
UTTAR,Uttarkashi
VADOD,Vadodara
VAISH,Vaishali
VALSA,Valsad
VARAN,Varanasi
VELLO,Vellore
VIDIS,Vidisha
VILUP,Viluppuram
VIRUD,Virudhunagar
VISAK,Visakhapatnam
VIZIA,Vizianagaram
VYARA,Vyara
WARAN,Warangal
WARDH,Wardha
WASHI,Washim
WAYAN,Wayanad
WOKHA,Wokha
YADGI,Yadgir
YAMUN,Yamuna Nagar
YANAM,Yanam
YAVAT,Yavatmal
ZUNHE,Zunheboto